lncRNA,gene,corr,p_value,mean_bicor
Meg3,Arhgap12,0.384422679,2.47E-07,0.178532165
Pvt1,Arhgap12,0.438242966,2.54E-09,0.130783522
Kcnq1ot1,Arhgap12,0.553227413,6.19E-15,0.336887388
Xist,Ppfia1,0.423335897,9.78E-09,0.324577899
Malat1,Ppfia1,-0.241274274,0.001577116,0.050059217
Airn,Ppfia1,0.589428824,3.44E-17,0.262778973
Hotair,Ppfia1,0.045558292,0.556419717,0.054523211
H19,Ppfia1,0.41984346,1.33E-08,0.124316343
Neat1,Ppfia1,-0.404369657,4.97E-08,-0.130568054
Hottip,Ppfia1,-0.068660323,0.375075135,-0.018087346
Gas5,Ppfia1,0.585381337,6.35E-17,0.275243132
Meg3,Ppfia1,0.111516379,0.148890985,0.178532165
Pvt1,Ppfia1,0.012980038,0.866980423,0.130783522
Kcnq1ot1,Ppfia1,0.309703174,4.18E-05,0.336887388
Xist,Arhgap5,0.444674984,1.39E-09,0.324577899
Malat1,Arhgap5,0.2656307,0.000482134,0.050059217
Airn,Arhgap5,0.291763056,0.000118672,0.262778973
Hotair,Arhgap5,0.052640964,0.49667855,0.054523211
H19,Arhgap5,-0.005014382,0.948410015,0.124316343
Neat1,Arhgap5,0.056145927,0.468420041,-0.130568054
Hottip,Arhgap5,-0.086043304,0.265998225,-0.018087346
Gas5,Arhgap5,0.122931759,0.111317856,0.275243132
Meg3,Arhgap5,0.243426898,0.001426792,0.178532165
Pvt1,Arhgap5,0.241814602,0.001538083,0.130783522
Kcnq1ot1,Arhgap5,0.533402032,8.23E-14,0.336887388
Xist,Pik3ca,0.734929434,5.65E-30,0.324577899
Malat1,Pik3ca,0.366610261,9.47E-07,0.050059217
Airn,Pik3ca,0.284205178,0.000180562,0.262778973
Hotair,Pik3ca,0.072369324,0.349764813,0.054523211
H19,Pik3ca,-0.074094796,0.338365263,0.124316343
Neat1,Pik3ca,-0.071491859,0.355653458,-0.130568054
Hottip,Pik3ca,-0.074552768,0.335379764,-0.018087346
Gas5,Pik3ca,0.137610897,0.074397265,0.275243132
Meg3,Pik3ca,0.404252218,5.02E-08,0.178532165
Pvt1,Pik3ca,0.323506537,1.78E-05,0.130783522
Kcnq1ot1,Pik3ca,0.66559716,5.51E-23,0.336887388
Xist,Ktn1,0.304079216,5.84E-05,0.324577899
Malat1,Ktn1,-0.190198472,0.013253565,0.050059217
Airn,Ktn1,0.435821793,3.17E-09,0.262778973
Hotair,Ktn1,0.021460865,0.781816543,0.054523211
H19,Ktn1,0.367455658,8.90E-07,0.124316343
Neat1,Ktn1,-0.42049001,1.26E-08,-0.130568054
Hottip,Ktn1,-0.116006308,0.133106138,-0.018087346
Gas5,Ktn1,0.330955145,1.11E-05,0.275243132
Meg3,Ktn1,0.052165955,0.500576383,0.178532165
Pvt1,Ktn1,0.039762189,0.607758862,0.130783522
Kcnq1ot1,Ktn1,0.237732893,0.001856135,0.336887388
Xist,Arhgef7,0.517272438,5.99E-13,0.324577899
Malat1,Arhgef7,0.357465652,1.83E-06,0.050059217
Airn,Arhgef7,0.120861954,0.117515402,0.262778973
Hotair,Arhgef7,-0.056465681,0.465886707,0.054523211
H19,Arhgef7,0.00962802,0.901126677,0.124316343
Neat1,Arhgef7,-0.169808986,0.027300914,-0.130568054
Hottip,Arhgef7,-0.109128981,0.157841194,-0.018087346
Gas5,Arhgef7,0.084055324,0.277243071,0.275243132
Meg3,Arhgef7,0.321588349,2.01E-05,0.178532165
Pvt1,Arhgef7,0.275720851,0.00028523,0.130783522
Kcnq1ot1,Arhgef7,0.560691457,2.23E-15,0.336887388
Xist,Itga9,0.169657194,0.02744104,0.324577899
Malat1,Itga9,-0.321456756,2.03E-05,0.050059217
Airn,Itga9,0.617073444,4.12E-19,0.262778973
Hotair,Itga9,0.035704919,0.644894718,0.054523211
H19,Itga9,0.511472188,1.19E-12,0.124316343
Neat1,Itga9,-0.305116855,5.49E-05,-0.130568054
Hottip,Itga9,-0.04177556,0.589688713,-0.018087346
Gas5,Itga9,0.524699523,2.43E-13,0.275243132
Meg3,Itga9,-0.04241877,0.583968027,0.178532165
Pvt1,Itga9,-0.209107291,0.006363272,0.130783522
Kcnq1ot1,Itga9,0.195185566,0.010987738,0.336887388
Xist,Sorbs2,0.268455699,0.000417088,0.324577899
Malat1,Sorbs2,0.405305273,4.60E-08,0.050059217
Airn,Sorbs2,-0.227636694,0.002915664,0.262778973
