gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SLC25A1,1797.34059,0.255069829,0.118426506,2.153823813,0.031253991,0.111405574
DUSP9,517.1004901,0.216479098,0.166350977,1.301339506,0.19314227,0.401349103
UQCC3,300.350782,-0.20036962,0.196020003,-1.02218966,0.306691144,0.535679847
MORC4,616.2253551,0.465600815,0.102916054,4.524083451,6.07E-06,7.18E-05
SCNN1D,113.5732147,0.435484555,0.233793974,1.86268511,0.062506582,0.185431703
MRTFB,677.6975331,0.089426811,0.270684399,0.330372979,0.741118156,0.875521003
SNORD167,16.38427005,0.737406233,0.581531317,1.26804217,0.204782892,0.418173298
PUSL1,372.7448659,0.439520133,0.158465546,2.773600603,0.00554397,0.028116454
MSRB3,3282.513091,0.143433581,0.193602638,0.740865836,0.458774792,0.678731931
FGFR3,441.3641131,3.130980628,0.290132186,10.79156597,3.77E-27,4.99E-25
EWSR1,4893.55741,-0.058841927,0.108896826,-0.540345657,0.588958677,0.778307753
TMA7,3677.296853,-0.310851343,0.158174836,-1.965238912,0.049386592,0.156918769
NUPR1,72.30754386,-1.329543426,0.48221887,-2.757136873,0.005830994,0.029311125
OSTF1,454.324931,0.656377435,0.172748133,3.799620999,0.000144918,0.001240927
ORC3,1054.999034,-0.134555788,0.161541313,-0.832949697,0.4048731,0.630899508
MXRA8,18.05662335,-1.672595826,0.481055353,-3.476930079,0.00050719,0.003723451
SERPINC1,2.727306142,0.464752264,1.736068208,0.26770392,0.788927233,0.900813079
SPRED2,783.6625253,0.087883342,0.211311971,0.415893815,0.677487706,0.83637832
AK8,15.91386159,0.577366957,0.412729972,1.398897576,0.1618437,0.35806519
GALNS,822.9551287,0.034988703,0.197013248,0.177595689,0.859040511,0.933589786
FBXW8,262.8504423,0.519151488,0.143804717,3.610114457,0.000306062,0.002415447
IKBKG,248.5095992,0.453402426,0.131292645,3.453372618,0.000553624,0.004021441
PSME1,1689.966962,0.169864934,0.166801407,1.018366312,0.308503906,0.537652196
SETDB1,1085.323562,0.238093904,0.078455308,3.034771147,0.002407183,0.01408496
VSTM1,4.242000883,2.713328402,1.268830849,2.138447694,0.032480425,0.114688256
MRPL20-AS1,412.4194025,0.019945715,0.140452779,0.142010115,0.887072016,0.948453335
PAQR3,378.8095005,-0.194484876,0.207669263,-0.936512572,0.349009343,0.579038876
LINC01770,67.52927711,0.532086003,0.494512721,1.075980416,0.281936015,0.509166725
CARD8,273.0531673,-0.713168689,0.145604568,-4.89798292,9.68E-07,1.35E-05
PPIP5K2,1891.266257,0.516326951,0.121365594,4.254310744,2.10E-05,0.000220479
LOC105378586,25.77797136,-0.20795842,0.415688617,-0.500274512,0.616881799,0.797811897
IFT81,1029.884203,-0.726453245,0.235622856,-3.083118746,0.002048434,0.012272772
ASAP3,265.2116266,0.759032464,0.180357212,4.208495217,2.57E-05,0.000265234
CRELD1,214.0164997,0.393239068,0.246001031,1.598526101,0.109925941,0.276160715
NLRP2,5166.205254,-0.126948863,0.132472337,-0.958304699,0.337909135,0.568447203
ZNF232,320.3673354,-0.42454952,0.231954513,-1.830313685,0.067203046,0.195433084
MMP23A,21.57332678,-0.911807591,0.518496959,-1.758559189,0.07865241,0.21908327
CAST,4166.342634,0.37266202,0.181036255,2.058493866,0.03954275,0.132892602
AASDH,387.1679777,-0.122689596,0.186915576,-0.656390435,0.511572943,0.721927542
SUMO3,350.2543464,-0.484779371,0.20670366,-2.345286821,0.019012448,0.076429206
CYP21A2,2.710286693,-1.142581824,1.236416785,-0.924107339,0.355430433,0.584760945
CASP3,1710.570945,0.063081585,0.215105571,0.293258725,0.7693244,0.890291907
CALD1,924.5680514,0.019034204,0.235343646,0.080878342,0.935538704,0.972401469
IDE,1623.139334,-0.119831791,0.095713709,-1.251981482,0.210576612,0.426524154
DAXX,5733.973631,0.059505901,0.159126401,0.373953664,0.70843879,0.855096232
SGCE,429.0975942,0.664220133,0.139077383,4.775903299,1.79E-06,2.34E-05
HLA-C,12118.25067,0.577948725,0.200160859,2.887421287,0.003884138,0.020918874
CNTD1,6.235678298,0.27545431,0.806368202,0.341598676,0.732652934,0.869726243
EBAG9,246.9329427,-0.092694334,0.153022969,-0.605754384,0.544677865,0.746383858
SLC11A2,1181.827168,0.029216779,0.178415885,0.163756602,0.869922757,0.939175432
RMDN2,73.01983862,-0.590706138,0.20827138,-2.836232889,0.004564915,0.023846698
CENPX,829.3850542,0.168653353,0.208334244,0.809532554,0.418208885,0.642425409
OGFOD3,271.2045073,0.414767888,0.13288189,3.121327431,0.001800377,0.010949423
SLC25A39,2245.876427,0.763948124,0.123390201,6.191319214,5.97E-10,1.39E-08
ELP4,259.2107839,-0.47404448,0.155608311,-3.046395643,0.002316029,0.013609449
C2,120.646469,-0.253126397,0.30363908,-0.833642353,0.404482552,0.630536319
TSNARE1,89.33732469,0.23002148,0.218855312,1.051020777,0.293249048,0.521914424
TDRP,612.376853,0.592240702,0.122138437,4.848929744,1.24E-06,1.69E-05
RAB5C,1428.356552,0.060615447,0.103110571,0.587868401,0.556620628,0.754184196
LOC105378591,4.511999167,0.952216452,0.821200942,1.159541353,0.246235591,0.469510892
RRAGB,220.7125723,-0.234078086,0.140405393,-1.667158796,0.095482833,0.250545742
RDH13,1078.396591,0.16863108,0.121245625,1.390821978,0.164279417,0.361664321
ULK3,840.8190631,-0.229397813,0.159929589,-1.43436755,0.151467403,0.343060271
GTF2IP20,165.6801323,0.038903964,0.344480351,0.112935219,0.910081914,0.960312575
PRKCZ-AS1,12.59697706,-0.185198314,0.522182361,-0.35466214,0.722842717,0.86402171
YJEFN3,103.5334111,-0.128899913,0.233548609,-0.551918995,0.581003854,0.773126469
FBXO11,1138.247749,0.154386405,0.212051657,0.728060354,0.466576642,0.685729421
FAAP20,451.4411041,0.083356015,0.121953851,0.683504578,0.494288059,0.707876725
ATG16L1,1182.655644,-0.57026064,0.178126174,-3.201442142,0.001367415,0.008733623
NFIC,698.6774051,0.037194035,0.319562483,0.116390492,0.90734307,0.959138157
PBRM1,2021.981926,0.220335619,0.146180516,1.507284449,0.131737762,0.312739918
LOC100129534,41.39148055,0.278522966,0.445867452,0.624676604,0.532183331,0.737652452
PRDM15,551.910114,0.02615247,0.115550132,0.226330075,0.820944709,0.9148809
