"XIST_group","RNAss","sample_type"
"High XIST",0.139057654760549,"Normal Tissue"
"High XIST",0.0595476660871518,"Normal Tissue"
"High XIST",0.548046078712381,"Normal Tissue"
"Low XIST",0.503510502500982,"Normal Tissue"
"High XIST",0.367433203034665,"Normal Tissue"
"Low XIST",0.503733725199985,"Normal Tissue"
"High XIST",0.419665896156246,"Normal Tissue"
"High XIST",0.173969781781583,"Normal Tissue"
"High XIST",0.230835434562787,"Normal Tissue"
"High XIST",0.191355020465343,"Normal Tissue"
"High XIST",0.129194791938357,"Normal Tissue"
"High XIST",0.18753491360584,"Normal Tissue"
"High XIST",0.237128628537152,"Normal Tissue"
"High XIST",0.282551739426932,"Normal Tissue"
"High XIST",0.225686963425292,"Normal Tissue"
"High XIST",0.200933695387811,"Normal Tissue"
"High XIST",0.20429075321323,"Normal Tissue"
"High XIST",0.174569609832855,"Normal Tissue"
"High XIST",0.12356210636294,"Normal Tissue"
"Low XIST",0.521235535951945,"Normal Tissue"
"Low XIST",0.437215022106255,"Normal Tissue"
"Low XIST",0.394066769311907,"Normal Tissue"
"Low XIST",0.430273733233849,"Normal Tissue"
"Low XIST",0.227703467499286,"Normal Tissue"
"Low XIST",0.19210501328206,"Normal Tissue"
"Low XIST",0.27669977610509,"Normal Tissue"
"Low XIST",0.325049332989826,"Normal Tissue"
"Low XIST",0.191460550564303,"Normal Tissue"
"Low XIST",0.407119596007147,"Normal Tissue"
"High XIST",0.124363794169316,"Normal Tissue"
"High XIST",0.137945758866959,"Normal Tissue"
"Low XIST",0.193757754421003,"Normal Tissue"
"Low XIST",0.429287906065526,"Normal Tissue"
"Low XIST",0.497703761570766,"Normal Tissue"
"High XIST",0.235256705201578,"Normal Tissue"
"High XIST",0.158755147462991,"Normal Tissue"
"High XIST",0.111299522848793,"Normal Tissue"
"Low XIST",0.439761157509605,"Normal Tissue"
"Low XIST",0.243660802279648,"Normal Tissue"
"Low XIST",0.323216670450251,"Normal Tissue"
"Low XIST",0.233809266081773,"Normal Tissue"
"Low XIST",0.442493620178993,"Normal Tissue"
"Low XIST",0.202455968118456,"Normal Tissue"
"Low XIST",0.179428019923835,"Normal Tissue"
"Low XIST",0.552122343308102,"Normal Tissue"
"Low XIST",0.381624766079711,"Normal Tissue"
"High XIST",0.163433134224101,"Normal Tissue"
"Low XIST",0.317018686286697,"Normal Tissue"
"High XIST",0.161616590289268,"Normal Tissue"
"High XIST",0.244579744703187,"Normal Tissue"
"High XIST",0.101246993476864,"Normal Tissue"
"Low XIST",0.457422080957876,"Normal Tissue"
"Low XIST",0.367601361973282,"Normal Tissue"
"High XIST",0.226122984754437,"Normal Tissue"
"Low XIST",0.397370148074776,"Normal Tissue"
"Low XIST",0.402375217399025,"Normal Tissue"
"High XIST",0.15065860845458,"Normal Tissue"
"High XIST",0.150530172116481,"Normal Tissue"
"Low XIST",0.24318569062988,"Normal Tissue"
"Low XIST",0.191571834307062,"Normal Tissue"
"Low XIST",0.262682512979491,"Normal Tissue"
"Low XIST",0.360987960492495,"Normal Tissue"
"High XIST",0.16429134527046,"Normal Tissue"
"High XIST",0.447568746351776,"Normal Tissue"
