"gene_name","log2FoldChange","padj","cell_line","deg","delabel"
"HRAS",0.711160056,1.68e-05,"X7","upregulated","HRAS"
"MSN",0.038219928,0.864250715,"X7","none",NA
"CORO2A",1.538454801,1.63e-08,"X7","upregulated","CORO2A"
"PLAUR",-0.495866187,0.346117693,"X7","none",NA
"PLCG1",0.259144789,0.050845158,"X7","none",NA
"FERMT3",-0.088746447,0.951909669,"X7","none",NA
"FLNA",0.066110489,0.905523064,"X7","none",NA
"NRP2",5.764957149,1.53e-53,"X7","upregulated","NRP2"
"PTPRM",-3.283464075,9.1e-21,"X7","downregulated","PTPRM"
"ITGB8",0.099997558,0.890327258,"X7","none",NA
"SSH1",0.256206037,0.528756724,"X7","none",NA
"CRKL",0.021516681,0.920383135,"X7","none",NA
"SRCIN1",1.358269684,2.12e-06,"X7","upregulated","SRCIN1"
"CAPN1",0.456420801,0.010059597,"X7","none",NA
"PTPRJ",2.32479174,1.34e-24,"X7","upregulated","PTPRJ"
"ANK3",-4.583791591,6.76e-20,"X7","downregulated","ANK3"
"HAX1",0.04484357,0.89990121,"X7","none",NA
"SCRIB",-0.087084547,0.641088922,"X7","none",NA
"PRKD1",-0.390578053,0.273468932,"X7","none",NA
"CD151",0.721535464,3.14e-06,"X7","upregulated","CD151"
"PKD1",0.231734,0.643790918,"X7","none",NA
"EPB41",0.356037219,0.019985548,"X7","none",NA
"LPXN",0.927183838,4.73e-05,"X7","upregulated","LPXN"
"ADAM12",-0.488668385,0.89990121,"X7","none",NA
"VAV2",0.54931341,0.00096245,"X7","none",NA
"KEAP1",-0.049803747,0.798787188,"X7","none",NA
"MACF1",-0.048780911,0.880237447,"X7","none",NA
"NUMB",0.169889458,0.530375597,"X7","none",NA
"MET",-1.32561699,0.000115929,"X7","downregulated","MET"
"CD2AP",0.048997146,0.858171343,"X7","none",NA
"PIP5K1C",0.395871272,0.278751857,"X7","none",NA
"CRK",0.006905155,0.984398499,"X7","none",NA
"RHOU",0.419108881,0.090813425,"X7","none",NA
"SIRPA",1.294318157,3.65e-13,"X7","upregulated","SIRPA"
"PABPC1",0.599129353,0.08218262,"X7","none",NA
"ITGA4",-1.735366289,0.021904827,"X7","downregulated","ITGA4"
"GRB2",0.028652276,0.882979004,"X7","none",NA
"TESK1",0.124441636,0.646960456,"X7","none",NA
"TNS1",0.285022509,0.618725127,"X7","none",NA
"LAYN",-7.789846065,0.004818847,"X7","downregulated","LAYN"
"ITGB1",0.149970093,0.806268007,"X7","none",NA
"MAPK8IP3",0.078262824,0.868142154,"X7","none",NA
"ILKAP",-0.374594938,0.093875008,"X7","none",NA
"CGNL1",-1.645989172,0.004658348,"X7","downregulated","CGNL1"
"SLC9A1",0.530036885,0.445446142,"X7","none",NA
"PTPN1",-0.201151146,0.1326291,"X7","none",NA
"TRIO",-0.061898155,0.849162896,"X7","none",NA
"CYTH2",-0.154584344,0.58028234,"X7","none",NA
