gene_name,bicor_gtex,p_gtex,bicor_tcga,p_tcga,z_gtex,z_tcga,se_diff,z_diff,p_diff,padj_diff,delta_bicor
ITGAM,0.273589508,1.13E-99,0.06495093,9.40E-06,0.280739653,0.065042496,0.019695029,10.95185782,6.51E-28,8.43E-28,0.208638578
ITGAV,0.580760962,0,0.154381798,3.55E-26,0.663610189,0.15562614,0.019695029,25.79250078,1.08E-146,3.52E-146,0.426379164
ITGAX,0.185023416,8.13E-46,0.102647485,2.33E-12,0.187179216,0.103010297,0.019695029,4.273612375,1.92E-05,2.06E-05,0.082375931
ITGB1,0.454355994,2.22E-293,-0.008682603,0.554070402,0.490175853,-0.008682821,0.019695029,25.32916687,1.52E-141,4.80E-141,0.463038597
ITGB1BP1,0.396814294,6.03E-218,-0.118605612,5.03E-16,0.419862149,-0.119166507,0.019695029,27.36876693,6.46E-165,2.66E-164,0.515419906
ITGB2,0.239877521,1.13E-76,-0.0411882,0.004986748,0.244644152,-0.041211515,0.019695029,14.51410241,9.86E-48,1.47E-47,0.281065721
ITGB3,0.419375382,9.69E-246,0.091281917,4.98E-10,0.446933865,0.091536724,0.019695029,18.04501746,8.63E-73,1.55E-72,0.328093465
ITGB3BP,0.639128989,0,-0.000385897,0.979021051,0.756699846,-0.000385897,0.019695029,38.44044836,0,0,0.639514886
ITGB4,0.186021072,2.66E-46,-0.085627227,5.05E-09,0.188212434,-0.085837426,0.019695029,13.91467162,5.16E-44,7.49E-44,0.271648299
ITGB5,0.394611286,2.42E-215,-0.110380342,4.53E-14,0.417250127,-0.110831933,0.019695029,26.81296184,2.28E-158,8.66E-158,0.504991628
ITGB6,-0.025230702,0.057687713,0.0138237,0.351738598,-0.025236058,0.013824581,0.019695029,-1.983273987,0.047336833,0.048948924,-0.039054402
ITGB7,0.256648074,1.23E-87,-0.008903896,0.544015326,0.262516804,-0.008904131,0.019695029,13.78118999,3.31E-43,4.74E-43,0.26555197
ITGB8,0.188267983,2.57E-47,0.017840582,0.224456145,0.190540896,0.017842475,0.019695029,8.768629965,1.81E-18,2.16E-18,0.170427401
JUP,0.404757617,1.68E-227,-0.149146292,1.60E-24,0.429325682,-0.150267192,0.019695029,29.42838395,2.38E-190,1.17E-189,0.553903909
KCNH2,-0.067121455,3.20E-07,-0.056119843,0.000134244,-0.067222529,-0.05617887,0.019695029,-0.560733323,0.574979347,0.576706012,-0.011001612
KEAP1,0.392709071,4.14E-213,-0.133123532,8.08E-20,0.414999068,-0.133918401,0.019695029,27.87086377,6.02E-171,2.51E-170,0.525832603
KRIT1,0.779859126,0,0.302042223,1.31E-98,1.04501091,0.311765321,0.019695029,37.22998282,2.23E-303,4.66E-302,0.477816903
KTN1,0.517859684,0,0.229101559,2.17E-56,0.573410668,0.23324105,0.019695029,17.27185162,7.66E-67,1.33E-66,0.288758125
LASP1,0.399669894,2.37E-221,-0.02372612,0.105877822,0.423256009,-0.023730574,0.019695029,22.69540114,4.97E-114,1.20E-113,0.423396014
LAYN,0.556645494,0,0.000668793,0.963650005,0.627959386,0.000668793,0.019695029,31.85019909,1.31E-222,9.50E-222,0.555976701
LDB3,0.217871805,3.28E-63,0.153534618,7.22E-26,0.221420766,0.154758392,0.019695029,3.384730997,0.00071248,0.000753065,0.064337187
LIMA1,0.577662082,0,0.125275432,1.03E-17,0.658946794,0.125937028,0.019695029,27.06316239,2.67E-161,1.05E-160,0.45238665
LIMK1,0.239058061,3.78E-76,-0.110753232,3.72E-14,0.243774841,-0.111209438,0.019695029,18.0240547,1.26E-72,2.25E-72,0.349811293
LIMS1,0.461201625,2.29E-303,-0.095437729,7.11E-11,0.498836489,-0.095729083,0.019695029,30.18861128,3.34E-200,1.83E-199,0.556639354
LIMS2,0.368749361,3.20E-186,0.099778891,9.34E-12,0.386974867,0.10011201,0.019695029,14.5652417,4.67E-48,7.00E-48,0.26897047
LIN7A,0.334492475,1.44E-151,0.190609052,3.15E-39,0.347878192,0.192969107,0.019695029,7.865390075,3.68E-15,4.30E-15,0.143883423
LMO7,0.263024848,2.34E-92,0.072225652,8.30E-07,0.26935531,0.072351636,0.019695029,10.00271055,1.48E-23,1.83E-23,0.190799196
LPP,0.463985668,1.71E-307,0.045001449,0.002154256,0.502378503,0.045031864,0.019695029,23.22142508,2.77E-119,6.90E-119,0.418984219
LPXN,0.432805488,2.14E-263,0.07908846,6.75E-08,0.463343691,0.079253981,0.019695029,19.50186067,1.06E-84,2.16E-84,0.353717028
LRP1,0.58561291,0,0.057740444,8.22E-05,0.670962884,0.057804741,0.019695029,31.13263482,8.72E-213,5.82E-212,0.527872466
LYN,0.305282058,2.55E-125,-0.019069549,0.19374534,0.315334254,-0.019071861,0.019695029,16.97921422,1.17E-64,2.02E-64,0.324351607
