,N4_2,N4_3,N4_4,N7_2,N7_3,N7_4,N9_2,N9_3,N9_4
EVPLL,0,0,0,0,0,0,0,0,1
MIR3128,2,5,4,6,4,4,4,4,0
LOC100130691,97,113,130,111,119,124,69,76,71
MIR6512,3,1,2,0,4,2,1,2,4
ZMAT4,0,0,1,0,0,0,0,0,0
DACT3,42,27,42,58,35,39,77,48,47
ZNF813,1,0,0,1,0,1,1,0,8
PHPT1,966,731,1156,1252,887,1230,1353,1107,937
CHRNB2,2,0,3,0,1,2,3,0,4
CHRNB1,67,23,56,106,82,112,91,71,96
ADCY6-DT,4,1,4,6,12,13,11,13,13
AKIRIN2,258,199,263,297,271,293,269,280,222
IARS2,3364,2661,4018,5939,4600,5941,5630,4502,4549
DPY19L4,995,819,1106,1125,783,1165,1199,888,931
S100A16,77,57,83,595,507,705,1833,1702,1670
TAGAP,1,0,0,0,1,1,2,0,1
ANKRD37,26,27,37,46,76,44,35,37,42
BRWD3,476,437,469,670,858,732,462,423,353
TMEM119,0,0,0,0,0,0,0,0,0
MICU3,286,287,380,528,385,484,507,409,334
CCDC163,35,19,34,82,60,57,57,72,67
ASPHD1,255,203,326,440,306,512,443,428,336
CENPV,376,261,399,448,255,317,410,370,310
POU5F2,33,34,22,30,40,40,42,20,37
DNAJC24,327,251,375,299,199,333,470,371,324
USP43,133,113,193,293,248,270,311,246,244
SRGAP2C,230,157,251,364,263,350,296,211,210
COPZ2,1,2,1,2,2,3,0,1,2
ISCA1,1022,769,1151,1441,788,1403,1554,1282,1180
MFSD4A,38,25,36,93,114,128,129,129,104
PPP1R11,91,73,114,134,96,108,115,93,65
GPAT4,1192,1037,1535,2141,1567,2134,1938,1596,1473
SLC2A9,1,2,1,0,0,0,0,0,0
FAM161A,312,267,385,223,182,204,254,191,205
VIRMA,1701,1379,1966,2499,1820,2393,2490,2114,1838
PARD6B,4439,3898,5412,2831,1932,2489,2636,1866,1872
BOK,444,467,652,739,626,660,587,528,466
LRWD1,450,379,636,826,628,845,1045,967,793
MSI2,507,435,505,665,642,579,878,767,644
TFAP4,169,133,171,255,165,218,255,219,173
MIS18A,647,457,736,802,433,789,915,723,642
CHST13,0,0,1,0,0,0,0,0,0
COL22A1,0,0,1,0,0,0,0,0,0
LRRC42,602,517,763,840,620,864,710,628,568
MEIOB,439,345,523,919,617,954,1142,925,788
L3MBTL3,304,244,391,406,333,425,370,329,269
LENG8,17,39,55,65,46,45,49,31,10
MID2,174,231,200,408,347,358,396,345,277
ANXA8L1,1,0,0,2,1,1,1,0,0
ARL10,0,0,1,1,1,0,0,1,0
KDM2B,700,588,829,1426,1137,1507,1421,1075,991
ASAP2,274,221,295,445,412,466,414,319,300
DLL4,12,6,13,35,17,38,38,32,20
LINC01934,1,0,1,0,0,1,0,0,0
MIAT,55,50,59,77,60,87,70,72,72
RASEF,68,68,118,10,12,11,6,2,6
LHX9,4,1,8,1204,921,1208,6,6,7
RAPGEF4,123,108,153,36,25,38,75,55,50
ANKRD29,3,5,3,9,9,5,2,4,3
TTC39C,483,407,457,816,673,831,810,633,613
FKBP4,2221,1798,2830,2804,1827,2980,3401,2973,2652
CUX1,710,800,723,882,1100,879,925,801,638
FSIP2-AS2,0,2,1,1,1,1,1,2,0
FSIP2-AS1,4,6,8,3,3,4,5,4,6
LINC01473,19,23,35,13,17,16,20,10,11
EML4,1991,1765,2420,2719,1810,2538,2651,2144,1965
PCDHGB2,23,43,33,35,57,47,38,22,27
SDHA,1896,1668,2345,2894,2349,2927,2621,2172,2059
DPY19L3,569,483,614,984,660,975,703,502,468
MIR1245A,14,28,18,10,23,21,12,7,14
MIR1245B,0,2,2,1,2,0,0,1,1
MIR3606,12,14,10,8,6,13,2,4,6
TINAGL1,1,0,0,0,0,0,0,0,1
NUCB1,656,534,711,944,859,977,935,802,726
ANKRD26,651,629,814,1150,929,1183,1154,927,915
SGSH,187,199,239,305,359,299,265,289,258
OSGEPL1-AS1,16,18,28,15,12,15,14,14,12
DQX1,12,15,8,15,6,11,7,8,5
ZNF365,106,95,166,23,11,20,0,0,0
CMTR1,815,687,1048,1135,935,1275,1168,971,870
PLA2G4B,12,4,6,5,14,7,6,9,6
POLR3C,1082,896,1304,2457,1511,2299,2128,1706,1585
LOC105373805,2,0,2,3,1,2,2,1,1
AP3B1,2006,1808,2230,3441,2633,3304,2632,2295,2029
ZSCAN20,112,122,178,192,194,260,169,147,123
DKK3,6,1,8,24,10,16,8,6,6
ZNF214,172,166,252,218,158,264,169,145,141
ENC1,27,24,47,37,14,38,24,27,40
CAVIN1,6087,4832,7381,13459,6987,12146,9322,7630,7310
LOC105747689,6,3,5,9,8,8,7,4,3
SSR3,3612,2741,4153,5311,3140,5016,5033,3944,3514
ZFYVE19,327,257,413,512,404,562,506,417,400
NUSAP1,2846,2238,3641,4477,2969,3935,3853,3277,2991
NCOR1,2492,2512,2685,3270,2927,3023,3054,2523,2329
LRP12,439,391,496,643,505,627,399,344,331
CCDC150,569,549,731,533,456,500,594,516,442
CCDC137,764,577,919,1372,898,1351,1247,1058,900
PRR19,39,28,53,32,30,50,39,42,45
FAM117B,240,225,301,161,186,166,184,155,132
ANKRD44-IT1,7,24,11,10,15,10,8,4,13
HIBADH,312,295,446,493,434,461,423,418,383
SPTBN2,892,857,1034,295,271,268,803,804,650
NPAS2,116,115,153,60,90,74,60,59,32
SATB2-AS1,6,6,11,4,4,2,10,7,1
FTCDNL1,138,156,191,211,186,219,232,154,166
LINC01619,0,0,1,0,0,0,0,0,0
IWS1,1587,1326,1896,2394,1468,2210,2234,1733,1625
AOX3P-AOX2P,0,0,0,0,0,0,0,0,0
LINC01792,0,0,0,0,0,0,0,0,0
MIR142,0,1,0,0,0,0,0,0,0
MIR141,4,7,1,5,1,10,8,7,10
MIR140,2,1,3,2,1,2,5,0,0
MIR193A,7,8,8,16,13,12,17,13,10
MIR188,1,0,0,0,1,0,0,0,0
DUXA,0,1,0,0,0,0,0,0,0
GNRH1,31,27,39,56,63,55,36,47,41
RBP7,1,0,1,0,0,0,1,0,1
CTBP1-AS,0,3,0,0,2,3,2,2,1
KDM2A,1476,1417,1892,2772,2610,3061,2412,2104,1909
SUN2,691,505,749,1232,1040,1318,1012,958,814
LOC101927168,1,1,0,0,0,0,0,0,0
LOC100130357,20,19,23,21,26,22,27,23,17
CFLAR-AS1,1,1,0,0,1,0,0,0,1
ARL1,1475,1106,1582,2807,1740,2603,2468,2050,1936
MYH7,0,0,0,1,0,0,0,0,0
DPEP1,3,1,2,13,7,3,4,9,4
ELAVL1,1876,1781,2172,3047,2886,2902,2912,2460,2261
EIF4EBP1,684,571,839,1012,703,1064,978,819,759
SRSF4,1065,811,1256,1871,1084,1703,1687,1281,1260
ADGRE2,2,1,1,7,5,2,1,4,5
SLC35E3,507,422,661,675,543,620,659,535,486
CALHM1,1,0,2,0,0,2,1,1,0
ZNF853,0,1,4,2,1,2,2,5,3
HOXD3,0,0,0,0,0,1,1,0,0
KDM4A,764,732,977,1130,969,1222,1039,808,817
CCDC3,62,63,89,70,33,50,93,49,60
ZMIZ2,253,251,310,483,667,539,465,460,354
TMEM47,79,55,86,613,448,537,752,638,628
THAP2,42,21,73,62,48,64,62,49,52
KIAA2012-AS1,0,1,0,0,1,0,0,0,0
SNORD70,52,40,60,61,29,61,64,28,36
SNORD70B,76,67,89,73,49,99,97,76,58
SNORD11B,28,25,30,31,17,38,32,17,28
SNORD11,63,39,61,78,27,63,64,39,44
ENPP7,0,0,0,0,1,1,0,0,0
LRIG3,156,151,237,415,337,390,200,127,154
MFAP3L,595,528,802,1102,834,1137,1213,1096,958
UACA,1209,958,1315,1756,1401,1873,2247,1840,1723
TEDC2,465,354,513,622,464,595,822,701,579
PINX1,241,212,262,487,304,455,457,399,367
OSBPL5,260,234,289,612,667,594,538,506,406
POLE4,476,372,566,559,323,581,581,473,438
CDC42EP1,236,214,307,376,347,335,452,467,307
ZNF488,27,22,40,15,16,7,12,16,15
WDR18,660,580,908,1350,1034,1211,1106,987,870
ALG8,861,628,966,1094,697,1104,1163,1003,885
MAPK4,9,6,8,7,8,5,10,12,3
MAN2B2,361,360,405,697,613,666,533,352,356
SNORD51,12,9,18,26,6,16,20,11,10
SNORA41,41,28,46,46,22,43,41,28,28
SLC16A6,118,130,220,61,34,43,272,210,201
MPHOSPH8,797,664,924,1041,740,951,1028,857,851
DENND4C,1710,1479,2053,2185,1866,2329,2316,1986,1844
PRKAB2,551,480,637,932,809,800,716,614,580
MIR3130-2,0,0,0,0,0,1,1,0,1
MYOSLID-AS1,1,3,4,1,5,3,1,0,0
FLVCR1-DT,78,80,109,123,87,145,142,118,119
UBE2I,1493,1234,1710,2525,1522,2334,2327,2041,1689
CCNYL1,190,220,189,265,288,248,140,96,104
IDH1-AS1,10,19,29,11,4,8,19,8,13
DENND4A,338,307,291,451,377,415,609,529,489
UBC,7943,6369,10176,10050,7286,10169,11896,8394,8678
MIR129-2,0,0,0,0,0,0,0,0,0
WFDC21P,1,1,1,25,6,9,1,0,1
CPS1-IT1,0,0,0,0,3,0,2,1,1
EME2,309,292,272,339,295,313,297,285,195
NDUFB8,1270,996,1571,1669,1109,1616,2058,1863,1569
TLK2,1021,818,1195,1324,870,1250,1119,948,829
SLC30A1,825,545,693,1097,438,800,1073,687,639
HDAC5,114,125,155,191,324,201,145,142,130
SNORA70I,5,7,8,11,6,6,4,5,3
ZDHHC1,36,22,16,244,252,244,212,192,157
PNMA6F,1,0,0,0,1,0,0,0,1
PCLO,125,199,144,97,157,88,82,64,61
ADGRD1,2,6,3,13,14,14,11,9,9
MOCS3,387,272,430,581,398,592,652,514,440
SESN1,197,139,203,296,212,286,401,299,246
KIAA1614,7,8,5,7,6,5,9,1,5
NMNAT2,4,4,9,72,57,69,18,10,17
NEFH,5976,5607,6943,7253,5027,7019,7533,5388,5023
CXorf58,1,1,1,3,0,0,2,0,6
PBXIP1,512,348,623,511,385,459,445,361,375
TSGA10IP,0,0,0,0,0,0,1,1,1
KDM4D,60,56,74,101,75,81,77,58,70
NBPF1,410,393,487,895,635,838,686,509,452
CCDC144NL-AS1,612,650,741,626,600,539,690,667,556
LINC01963,90,71,78,78,75,73,114,89,72
DIRC3,1,0,4,0,0,2,0,0,0
GDI1,1407,1242,1575,1727,1389,1685,1533,1417,1250
SNORA115,0,0,1,2,1,0,0,0,1
RUFY4,11,11,3,12,27,11,19,24,19
CXCR2P1,0,0,0,0,0,1,0,0,0
ANKRD7,0,0,0,1,1,0,0,0,0
ABCE1,4335,3446,5402,7700,4216,7105,7403,6124,5447
FBXL4,530,531,665,989,783,985,972,790,738
MIR6513,0,1,0,0,6,3,2,0,1
CATIP-AS2,0,0,0,0,0,0,0,0,0
MIR6810,0,0,0,0,0,1,1,0,0
CATIP-AS1,0,0,0,0,0,0,0,0,0
GLRA1,0,0,0,0,0,0,1,0,0
ADAMTS19,8,13,14,52,45,67,45,44,49
PRKRA,1063,858,1260,1347,708,1108,1393,1069,888
LOC100287036,0,1,0,1,2,1,0,0,3
CITED4,1,5,0,1,1,1,4,3,7
TBC1D10B,418,381,507,731,714,764,771,658,550
CFAP65,5,0,13,14,5,19,25,15,8
MIR3131,0,0,0,0,1,1,0,0,0
RAI1,502,540,501,693,998,720,727,712,554
RETREG2,1100,889,1456,1319,993,1412,1462,1258,1140
LPL,2,0,2,0,0,0,0,0,0
BMP7,275,287,411,45,46,59,16,8,18
BMP6,3,7,2,10,0,5,11,12,10
MRPL32,908,676,1233,1315,740,1219,1321,1071,1049
F10,0,0,0,0,0,0,0,0,0
RAMP1,0,0,0,0,1,0,1,0,0
MIR637,17,11,16,36,20,36,23,21,24
MIR634,2,1,1,1,0,0,0,0,1
MIR33B,3,2,0,1,8,7,7,2,4
RASA2,874,716,972,1084,771,990,947,794,710
HSPBP1,634,486,723,1077,779,1069,825,741,652
EPGN,1,2,0,2,1,1,0,0,1
CSAD,197,198,236,276,273,272,208,212,158
NAB2,1161,858,1338,1544,976,1401,1813,1457,1280
TMEM198,84,56,124,146,102,135,161,92,98
MIR3132,0,0,0,0,0,0,0,1,0
SENP5,1148,1037,1571,1881,1328,1953,2055,1751,1724
OLFM1,129,81,153,181,133,205,91,51,44
KLHL8,608,552,713,920,641,958,789,666,683
WRAP53,389,329,506,585,445,559,594,504,447
CT75,12,12,14,42,29,32,56,53,50
CCDC42,0,0,0,0,1,1,0,0,0
VDAC3,2272,1933,2919,3898,2509,4051,3932,3086,2999
MRPL21,714,540,851,1054,664,1055,1207,996,835
FBXO24,10,6,13,8,12,8,15,6,8
TPGS1,206,132,220,206,112,114,232,192,129
H3P6,273,234,303,529,400,431,445,379,324
DLX1,288,220,327,129,82,105,224,180,158
NPIPB6,7,2,6,14,12,18,11,11,7
ADAT3,88,93,122,131,118,110,116,95,76
NID1,21,42,43,2076,2575,2139,1721,1630,1411
C7,0,0,0,0,0,1,0,1,0
TMEM187,105,56,105,118,101,102,153,119,104
PROSER3,148,194,151,215,275,214,158,151,115
MLH3,531,476,652,692,570,721,733,568,633
POP7,487,389,582,826,512,661,824,728,576
G6PD,354,352,436,597,788,804,515,515,455
DAW1,0,1,1,0,0,0,0,0,0
LYG2,0,0,0,0,1,1,0,0,0
ATP10D,240,260,322,342,278,314,311,280,263
FRMD3,41,44,65,32,30,38,13,16,22
CNN1,1,2,1,2,0,3,0,2,3
IDNK,196,132,223,211,143,160,115,99,98
HINT1,3150,2244,3720,4637,2605,4552,5244,4140,3832
RND1,20,22,23,34,45,27,34,21,20
RBMXL2,0,1,0,2,3,1,2,1,4
VENTX,1,0,1,1,0,0,0,0,0
DSG2,63,40,17,1,2,1,0,0,0
ZNF250,219,207,249,374,345,373,294,255,246
TNRC6B,2347,2663,2520,3000,3442,2985,3281,2720,2420
ZNF516,314,254,301,261,370,277,353,309,273
PPDPF,374,482,386,467,822,438,484,457,313
UPK3BL2,1,3,2,10,0,9,7,3,3
CASK,553,545,638,939,910,1030,808,666,650
LINC01907,1,0,0,0,2,0,0,0,0
TMEM159,160,137,203,252,188,254,205,156,180
SLC5A10,0,0,1,1,1,1,1,0,0
SPATA3-AS1,9,17,13,8,5,15,19,13,17
RIPPLY2,55,30,41,52,25,54,47,46,46
ANKRD36C,1073,1197,1060,1010,1170,1077,839,805,668
MIR4777,4,1,4,3,0,0,0,0,1
SNORA75,70,34,56,61,30,55,47,28,27
SNORD20,59,39,78,50,12,47,38,32,29
SNORD82,39,19,34,20,9,26,19,10,17
LINC00471,48,55,78,70,44,64,63,66,56
FAM227A,179,166,226,266,220,341,201,180,222
SLC46A3,26,23,39,146,111,119,88,57,74
GPR82,0,0,0,0,0,1,0,0,0
MAN1B1,947,799,1104,1468,1272,1486,1316,1218,1014
PNPLA5,0,1,0,0,0,0,0,0,0
MIR562,2,2,5,2,5,5,3,2,1
ECEL1P2,0,0,2,0,1,0,0,0,0
PSD4,502,517,743,555,410,613,467,454,368
PPIH,669,502,877,944,543,987,995,833,829
TIAM2,5,4,8,1,2,3,1,2,1
PPP1R1A,2,1,4,3,1,0,4,1,0
COX7B,2136,1571,2619,2824,1680,2765,3419,2769,2495
TMEM210,1,1,0,2,4,0,0,0,1
ST6GAL1,69,91,90,65,42,70,80,54,42
LYPD1,0,2,1,0,0,1,0,0,1
ADPGK-AS1,5,3,5,2,7,9,3,8,5
SNORC,41,32,34,31,29,40,31,19,21
SCARNA5,2340,1674,3244,3030,1525,3252,2361,1767,1665
SCARNA6,695,474,1010,957,539,1316,802,615,522
SLA2,0,4,5,15,17,28,29,27,31
MSL3P1,252,212,360,189,139,202,264,179,168
AGAP1-IT1,16,29,19,24,27,38,14,18,19
TNRC17,1,0,0,0,0,0,0,0,0
IFNGR2,46,41,82,64,34,51,78,102,72
LOC93463,8,22,5,14,40,24,9,8,10
RASGRF1,0,0,0,0,0,0,0,0,0
SCD,768,839,697,9005,11186,8847,4458,3225,3275
COX7C,3643,2594,4426,5951,3237,5681,5889,4621,4427
ABHD17A,473,379,518,776,607,605,682,640,444
NAGA,970,823,1106,1754,1421,1808,1906,1560,1414
IRF6,3,0,0,1,0,1,0,0,0
MRPL30,1522,1248,2042,1634,1080,1597,1865,1527,1324
UBE2F-SCLY,2,0,1,0,0,0,0,0,0
MIR4441,0,0,0,1,1,0,2,0,2
MGC16025,1,6,4,4,13,7,2,5,2
MIR2467,0,3,0,0,5,4,2,0,0
HDAC4-AS1,37,23,40,34,19,28,29,24,22
MIR4786,3,4,4,5,5,10,6,5,5
GBP1,780,621,1020,2612,1530,2280,2002,1506,1565
GBA3,0,0,0,0,0,0,0,0,0
PIRT,0,0,0,1,0,1,0,0,0
MNT,178,177,156,246,263,231,273,232,180
NIT1,424,323,589,616,590,727,619,636,548
HTR1D,0,0,0,0,0,0,0,0,0
ELF3,7,1,3,46,48,35,2,3,3
GBP2,441,376,535,1186,1072,1109,1930,1590,1546
IBA57,150,186,192,314,259,356,290,201,210
LRRC37A2,2,2,2,8,24,1,1,6,3
CAPN10-DT,129,149,222,125,107,167,155,143,126
BAP1,1081,856,1240,1574,1192,1565,1608,1356,1169
SLC17A5,1058,773,1274,1515,934,1327,848,597,610
LOC285191,0,0,0,0,0,0,0,0,0
GSTO1,1289,907,1579,2105,1431,2127,2239,1870,1833
POLR1C,825,719,1039,1016,566,1088,1292,1114,933
SULT1B1,0,0,0,0,2,1,0,0,0
GABARAP,1020,886,1267,1515,1247,1503,1304,1187,1097
TUSC2,424,339,473,684,507,655,735,635,579
MAP2K5,70,89,93,122,169,124,115,122,85
CBWD5,391,299,442,614,348,546,677,601,503
ARL8B,1114,916,1305,1539,971,1393,1561,1171,1081
KHDC1,7,2,6,7,2,5,14,4,5
POLDIP2,1375,1279,1749,2608,1792,2582,2688,2211,2142
NBDY,653,569,858,518,312,454,1007,907,855
GCSH,963,767,1092,1630,1044,1373,1532,1182,1063
GALNT3,8,10,7,6,5,2,12,3,6
GIMAP2,64,47,93,62,40,85,179,151,171
CIPC,601,600,795,941,677,1105,841,798,740
GTPBP2,682,550,846,1113,951,1142,862,774,665
SLC38A5,3,1,5,10,3,8,3,3,2
BCL9,544,632,465,574,824,540,593,535,414
BAX,689,542,840,1120,714,1197,1375,1212,988
ACAP1,32,22,35,27,11,36,30,23,18
LAPTM4A,1171,940,1338,1834,1186,1764,1693,1457,1300
USP34,3872,4463,3975,5843,6838,6179,5307,4508,4002
KCNK6,2,2,1,6,5,9,7,1,2
NTN1,40,41,45,9,10,10,6,6,5
LRRC46,8,2,10,7,17,9,9,8,7
SLC25A51,406,303,509,618,401,589,570,508,434
KSR1,61,70,63,88,110,98,64,49,54
GJB2,13,10,18,10,5,7,4,6,1
GNPAT,766,635,1025,1353,943,1385,1319,1031,987
CEP295,1880,1720,2203,2491,1887,2310,2402,2057,1952
RBM28,1571,1284,1722,1104,818,1121,2376,2017,1795
DCLK3,0,0,0,0,0,1,0,0,0
MAP4K5,889,768,927,1910,1398,1803,1306,1130,1027
MIR3133,0,0,0,1,0,0,0,0,0
BOK-AS1,1,3,2,8,1,5,4,0,2
ZCWPW1,74,56,103,97,67,93,76,51,85
RPP25,643,551,749,671,521,632,941,731,692
ACTR5,211,178,268,255,225,307,275,223,191
SHANK2,0,0,1,0,1,1,0,0,0
TFAP2A,63,73,56,74,82,74,29,22,26
RNF139,770,638,961,888,573,813,965,733,702
SMCR8,1037,957,1293,1701,1611,1859,1760,1604,1392
LINC01237,0,0,0,2,12,0,2,3,2
LINC01881,11,14,15,16,22,27,11,10,18
C20orf96,95,107,109,111,211,106,82,103,70
NRSN2-AS1,55,44,53,45,46,56,56,38,34
RICTOR,999,998,1107,1321,1171,1226,1075,829,756
TSHR,1,0,1,2,0,2,0,2,0
PTGIR,8,2,6,10,9,6,2,3,4
MSTN,3,2,1,6,5,8,6,5,6
GATA6,16,11,1,1,2,1,1,0,2
OGFRL1,6156,4764,6434,8024,4966,7034,6849,4901,4808
EPHA1,10,4,4,53,57,70,144,127,144
DKK1,1,0,0,0,0,1,2,1,0
LOC105372493,13,13,18,13,9,10,23,8,10
SDCBP2-AS1,64,57,87,94,99,109,81,97,77
CTNNBL1,653,567,859,977,719,964,932,802,713
SIRPG-AS1,1,1,2,1,2,1,0,0,1
LOC100289473,0,0,0,4,4,7,1,5,4
SMC3,2849,2308,3244,3986,2805,3636,3822,3054,2742
KLHL21,693,555,857,1158,876,1374,1281,1074,1024
JMJD4,462,395,597,994,728,1059,1136,1060,882
CC2D1B,807,666,790,1286,1186,1317,1299,1170,1024
SNORD119,16,9,14,22,9,26,13,10,13
ONECUT3,0,0,0,0,0,0,0,1,2
H2AW,1332,1262,2027,2087,1070,1700,1929,1435,1211
CHAF1A,1444,1148,1622,1656,1231,1521,1855,1648,1340
MTCL1,261,279,324,384,380,376,295,258,234
TCAP,3,10,8,4,3,10,7,4,4
PKIA,30,33,50,0,0,0,0,0,0
KLHL17,583,492,510,1067,859,925,903,1032,609
MIR1292,1,1,3,3,1,0,1,1,1
SNORA51,39,34,42,75,47,74,68,41,23
SNORD56,10,12,15,23,11,22,17,19,9
SNORD57,15,13,13,24,14,23,18,25,8
ZNF506,0,0,1,0,0,0,0,1,0
MESD,1248,963,1474,1717,1053,1531,1588,1258,1207
UNC5C,0,0,0,1,2,1,0,0,1
EXOSC7,648,538,821,1044,684,1064,1149,951,867
NAV3,7,6,14,0,1,2,1,1,1
ATAD2,5157,4234,6052,4558,2864,4100,4274,3261,2992
ATAD5,1044,1039,1227,1480,1201,1370,1627,1267,1157
RWDD4,638,519,831,1098,622,1034,1080,827,712
FAM131B,3,2,2,5,3,8,13,9,2
MPC1,194,165,253,537,356,528,632,540,464
AREL1,868,760,991,1517,1298,1537,1467,1205,1091
HCN4,18,15,18,39,38,25,17,9,17
TMED5,912,756,1133,1680,1042,1489,2153,1842,1594
CHST5,13,5,10,16,33,26,26,18,19
C20orf144,3,2,0,0,0,0,0,1,0
ADAM19,42,43,43,196,160,209,37,41,31
OVCA2,52,44,63,70,39,50,92,57,41
NKAP,379,283,456,609,388,582,628,481,482
HLX,21,16,17,100,118,131,218,252,249
LURAP1,104,94,160,213,208,232,208,178,157
RPL38,5926,4223,6962,9284,4781,9139,9147,7562,6524
CTSO,0,14,11,1,3,0,5,1,3
LINC01730,7,4,2,3,4,2,3,2,1
BCL11B,3,4,4,6,3,1,3,3,0
IQUB,4,5,10,3,4,7,2,3,1
GUK1,1441,1211,1733,3006,2194,2868,2872,2413,1970
MGST3,805,612,1020,1835,1062,1653,1346,1141,1122
MAST2,622,640,701,1046,1176,1172,1037,871,777
CENPF,13685,10896,15538,16515,12658,15842,13733,11214,10359
LINC01433,0,0,0,1,0,0,0,0,0
CACNA1D,22,33,49,68,96,123,81,93,61
DVL3,716,757,760,1174,1249,1156,954,868,736
DDX58,192,200,245,317,249,256,223,174,201
FGF20,0,1,0,0,0,0,0,0,0
IFIH1,221,199,292,328,293,329,417,351,319
PCNA-AS1,4,2,3,6,2,2,8,5,2
LINC00654,7,4,0,6,3,4,0,1,0
LINC01729,1,0,0,1,0,1,0,0,0
TGFBR2,8,10,6,321,277,306,1,1,0
RNF135,281,248,341,344,271,405,418,329,303
MCM8-AS1,0,0,1,0,2,2,2,2,1
HOXA11-AS,2,2,3,19,22,14,19,28,24
RAB30,91,91,96,88,78,69,81,79,97
PDIA2,6,9,4,6,6,5,16,12,10
CCDC85B,989,834,1302,887,540,662,1323,1045,930
SNAP25-AS1,1,0,0,0,0,0,0,0,0
CASTOR2,247,153,239,604,627,556,500,421,404
BTBD3,905,790,1008,1296,1017,1281,1116,973,889
ISM1-AS1,0,0,1,0,2,0,1,2,2
BBX,1742,1425,2055,1431,1609,1342,1957,1854,1585
CNGA1,1,4,6,6,4,9,10,7,3
LOC100507065,15,29,25,97,140,103,148,140,113
RABL3,275,232,363,462,306,389,412,319,339
TTC1,763,626,1010,1232,748,1171,1249,1015,969
RBBP8,2401,1831,2465,2167,1342,2093,2546,2070,1942
MEX3D,811,685,967,1009,637,819,938,748,525
SLC25A51P4,0,0,0,0,2,1,0,1,1
SEPTIN7P2,150,150,201,260,205,297,233,191,156
BTG2,208,136,199,241,186,235,325,216,191
KMT5C,202,178,216,201,180,173,278,237,213
MACROD2-IT1,0,1,0,0,0,0,2,0,0
PLEKHA2,571,466,630,1723,1275,1581,1560,993,1084
ZC2HC1B,2,2,2,8,2,6,7,1,2
MCEMP1,0,0,0,1,0,0,0,1,0
MRPS15,974,807,1279,1834,1236,1885,1612,1223,1281
TEX12,4,8,8,4,6,5,7,3,9
WDR26,925,1028,1022,1235,1434,1215,1443,1236,1138
SNORD17,1298,1239,1801,2038,1462,2275,1583,1131,1101
KAT14,182,175,258,489,341,470,508,434,429
COTL1,750,417,389,1718,873,1326,608,496,406
DIMT1,742,550,914,981,483,1029,1169,1015,842
CHST14,297,259,365,504,417,536,423,382,325
TAF1C,612,609,611,1051,1064,1134,1116,1206,909
ISL2,120,84,148,158,95,151,160,188,146
TRPM4,281,282,280,346,441,381,219,211,174
MIR3192,3,3,7,11,8,2,3,5,5
LINC00652,1,0,3,3,2,1,4,1,3
LINC00653,28,22,51,40,31,43,40,40,35
SAFB2,1050,814,1139,1323,847,1226,1307,1099,1016
NAA20,668,513,760,1183,688,1077,1287,1023,975
CFAP61,5,9,9,4,4,9,15,9,5
LINC01431,6,6,4,9,8,3,5,4,2
GZF1,583,439,717,868,535,867,809,653,616
FAM53C,1174,889,1306,1426,1188,1392,1522,1400,1138
C2orf78,0,0,1,0,0,1,0,0,0
TCFL5,588,475,690,1173,907,1280,952,785,779
LOC284798,0,0,0,0,0,0,0,1,0
LOC101926889,2,7,6,5,4,8,4,3,1
IL5,0,0,1,0,0,0,1,0,2
IL2RB,0,0,0,0,0,1,0,0,0
ZMYM3,1090,973,1237,1221,1245,1268,2008,1652,1526
ZMIZ1-AS1,5,3,3,10,14,10,12,7,8
ZNF337-AS1,107,130,126,177,217,208,174,143,165
LOC105372582,7,6,5,4,3,6,1,3,2
FAM182B,1,3,1,9,3,4,8,3,11
LOC101926935,0,0,2,6,4,3,6,7,3
MIR663AHG,0,0,0,0,2,0,0,0,0
FRG1CP,105,88,138,166,93,159,152,132,111
FRG1DP,8,10,10,12,18,15,18,16,16
FRG2EP,0,0,0,0,1,0,0,0,1
LOC105379477,0,2,0,0,1,0,1,0,0
FRG1EP,16,11,15,22,14,15,20,14,14
MIR4477A,0,0,0,0,0,0,0,0,0
MIR4477B,4,5,3,7,14,12,12,7,7
LINC01597,121,99,101,96,87,99,111,88,103
FRG1BP,17,39,60,71,55,58,73,66,68
FAM111B,0,0,1,0,0,0,0,0,0
EBI3,1,3,2,1,3,4,1,2,1
FOXE3,2,2,1,1,0,0,0,0,1
HM13-AS1,12,1,7,9,3,11,6,2,4
MIR3193,7,1,2,20,11,10,19,7,9
SUMO1P3,85,73,92,80,70,51,73,73,54
HMCES,570,525,731,1137,965,1149,1151,1018,934
ABALON,5,4,7,6,7,6,8,6,3
WDR6,1949,1780,2413,3272,2611,3640,3155,2803,2475
CLMN,67,87,97,98,88,97,105,70,86
HAT1,2328,1763,2685,1904,1150,1786,2076,1624,1594
NAPA,361,341,446,634,625,676,695,627,573
PLEKHF1,148,114,145,442,398,376,341,334,301
TSPY26P,3,7,1,4,8,1,3,4,2
CD38,0,0,1,1,0,2,0,1,1
CD37,0,0,0,0,0,1,0,1,0
ZNF649,283,243,313,341,224,375,387,297,287
MIIP,258,212,339,500,402,507,398,341,322
C8orf33,748,599,851,1463,850,1309,1363,1129,951
UBE2Z,1835,1657,2216,2928,2152,2867,3110,2436,2307
PIM3,801,596,878,891,660,764,1181,1215,884
HSP90AA1,19872,18866,21198,28188,25699,27947,29028,23878,22110
TBC1D8B,83,83,102,170,241,141,125,113,116
