,N4_2,N4_3,N4_4,N7_2,N7_3,N7_4,N9_2,N9_3,N9_4
MYCBPAP,1,0,0,2,1,0,0,0,0
NDUFA4,3263,2336,3825,5898,2869,5969,6091,4851,4387
TRMU,481,453,542,712,557,779,994,823,737
HSD11B2,16,12,20,27,26,43,25,25,22
OPA1,2951,2572,3392,4736,3430,4420,5226,4196,3644
LINC00867,0,0,1,0,0,0,2,1,0
NXPE3,584,498,684,1603,1211,1508,916,694,727
SNORA19,14,15,22,26,18,21,26,15,11
MNAT1,677,558,881,1423,963,1287,1088,936,907
SFXN4,280,209,303,501,302,523,579,470,467
