"gene","bicor","XIST_group","sample_type"
"CD151",-0.520554870539512,"Low XIST","Normal Tissue"
"CD2AP",0.0598665234458834,"High XIST","Normal Tissue"
"CD2AP",-0.392268619093981,"Low XIST","Normal Tissue"
"CD47",-0.198817934525721,"High XIST","Normal Tissue"
"CD47",0.167910129256788,"Low XIST","Normal Tissue"
"CDC42",-0.101434603179215,"High XIST","Normal Tissue"
"CDC42",0.336094761625191,"Low XIST","Normal Tissue"
"CDH1",0.336439135693506,"High XIST","Normal Tissue"
"CDH1",-0.0449933488777817,"Low XIST","Normal Tissue"
"CDH10",0.0394722811710324,"High XIST","Normal Tissue"
"CDH10",0.0161780990833855,"Low XIST","Normal Tissue"
"CDH11",-0.37510758056926,"High XIST","Normal Tissue"
"CDH11",-0.34143407258267,"Low XIST","Normal Tissue"
"CDH12",0.0329701625611194,"High XIST","Normal Tissue"
"CDH12",0.0491494268997231,"Low XIST","Normal Tissue"
"CDH15",-0.153741028556226,"High XIST","Normal Tissue"
"CDH15",-0.20930372685874,"Low XIST","Normal Tissue"
"CDH18",0.207716917861998,"High XIST","Normal Tissue"
"CDH18",0.103148739336131,"Low XIST","Normal Tissue"
"CDH19",-0.37403799740008,"High XIST","Normal Tissue"
"CDH19",-0.659164677332053,"Low XIST","Normal Tissue"
"CDH2",-0.192661982320024,"High XIST","Normal Tissue"
"CDH2",-0.277515550443251,"Low XIST","Normal Tissue"
"CDH20",0.286614892414402,"High XIST","Normal Tissue"
"CDH20",-0.0025073985275599,"Low XIST","Normal Tissue"
"CDH22",0.188859542434447,"High XIST","Normal Tissue"
"CDH22",0.0144777204364449,"Low XIST","Normal Tissue"
"CDH24",-0.137106205438347,"High XIST","Normal Tissue"
"CDH24",-0.24575318099667,"Low XIST","Normal Tissue"
"CDH3",0.103608828736437,"High XIST","Normal Tissue"
"CDH3",-0.0812288935524953,"Low XIST","Normal Tissue"
"CDH4",0.166880663066785,"High XIST","Normal Tissue"
"CDH4",0.0565936461321334,"Low XIST","Normal Tissue"
"CDH5",-0.219076762030094,"High XIST","Normal Tissue"
"CDH5",-0.709271492793557,"Low XIST","Normal Tissue"
"CDH6",-0.545015063935452,"High XIST","Normal Tissue"
"CDH6",-0.354887324075092,"Low XIST","Normal Tissue"
"CDH7",-0.060639764039523,"High XIST","Normal Tissue"
"CDH7",0.116511574766535,"Low XIST","Normal Tissue"
"CDH8",-0.222794599485218,"High XIST","Normal Tissue"
"CDH8",-0.0230579704912462,"Low XIST","Normal Tissue"
"CDH9",0.00165508373443254,"High XIST","Normal Tissue"
"CDH9",0.154958042443636,"Low XIST","Normal Tissue"
"CEACAM1",0.13083405749504,"High XIST","Normal Tissue"
"CEACAM1",0.0856315603705825,"Low XIST","Normal Tissue"
"CFL1",-0.129647089086011,"High XIST","Normal Tissue"
"CFL1",0.423058144660462,"Low XIST","Normal Tissue"
"CGNL1",-0.288648931644775,"High XIST","Normal Tissue"
"CGNL1",-0.251934398608821,"Low XIST","Normal Tissue"
"CIB1",0.184880619154122,"High XIST","Normal Tissue"
"CIB1",-0.0664403805784765,"Low XIST","Normal Tissue"
"CIB2",-0.124386905638593,"High XIST","Normal Tissue"
"CIB2",-0.285145321177498,"Low XIST","Normal Tissue"
"CLIP1",-0.0622923640854311,"High XIST","Normal Tissue"
"CLIP1",-0.0889200618905718,"Low XIST","Normal Tissue"
"CORO1B",-0.0575640366639789,"High XIST","Normal Tissue"
"CORO1B",-0.0854307416995784,"Low XIST","Normal Tissue"
"CORO2A",0.209685792195485,"High XIST","Normal Tissue"
"CORO2A",0.427873865096741,"Low XIST","Normal Tissue"
"CRK",-0.120181695978597,"High XIST","Normal Tissue"
"CRK",-0.23257715666927,"Low XIST","Normal Tissue"
"CRKL",0.0355597503992466,"High XIST","Normal Tissue"
"CRKL",0.166735867997333,"Low XIST","Normal Tissue"
"CSK",0.263375872380745,"High XIST","Normal Tissue"
"CSK",0.36515866202238,"Low XIST","Normal Tissue"
"CSNK1E",-0.385419113232591,"High XIST","Normal Tissue"
"CSNK1E",-0.30954963055758,"Low XIST","Normal Tissue"
"CSNK2A1",0.142254536761378,"High XIST","Normal Tissue"
"CSNK2A1",-0.102738927218012,"Low XIST","Normal Tissue"
"CSRP1",-0.621853138503646,"High XIST","Normal Tissue"
"CSRP1",-0.322744552555615,"Low XIST","Normal Tissue"
"CTNNA1",-0.411030086395704,"High XIST","Normal Tissue"
"CTNNA1",-0.449249997389112,"Low XIST","Normal Tissue"
"CTNNA2",-0.0417959055826412,"High XIST","Normal Tissue"
"CTNNA2",0.0185710087657339,"Low XIST","Normal Tissue"
"CTNNA3",-0.513072229960057,"High XIST","Normal Tissue"
"CTNNA3",-0.283100889585319,"Low XIST","Normal Tissue"
"CTNNB1",-0.275047263519283,"High XIST","Normal Tissue"
"CTNNB1",-0.224804282382181,"Low XIST","Normal Tissue"
"CTNND1",0.0280593483299003,"High XIST","Normal Tissue"
"CTNND1",-0.504218850700153,"Low XIST","Normal Tissue"
"CTNND2",0.0993895426913265,"High XIST","Normal Tissue"
"CTNND2",-0.101016645381614,"Low XIST","Normal Tissue"
"CTTN",-0.270217132122398,"High XIST","Normal Tissue"
"CTTN",-0.449623402643476,"Low XIST","Normal Tissue"
"CYTH2",0.106273467442115,"High XIST","Normal Tissue"
"CYTH2",0.00590765100417826,"Low XIST","Normal Tissue"
"DBN1",-0.288911625144753,"High XIST","Normal Tissue"
"DBN1",-0.148736907215115,"Low XIST","Normal Tissue"
"DEF6",0.148739083225131,"High XIST","Normal Tissue"
"DEF6",0.368598354393114,"Low XIST","Normal Tissue"
"DIAPH1",0.140439355796979,"High XIST","Normal Tissue"
"DIAPH1",0.310711025345085,"Low XIST","Normal Tissue"
"DLC1",-0.421611022102039,"High XIST","Normal Tissue"
"DLC1",-0.526318167177493,"Low XIST","Normal Tissue"
"DLG1",0.148127861779466,"High XIST","Normal Tissue"
"DLG1",-0.114550861911174,"Low XIST","Normal Tissue"
"DLG5",0.170778976624642,"High XIST","Normal Tissue"
"DLG5",-0.337146551684309,"Low XIST","Normal Tissue"
"DNM2",0.0514829881801804,"High XIST","Normal Tissue"
"DNM2",0.216918526650367,"Low XIST","Normal Tissue"
"DOCK1",-0.123686029398981,"High XIST","Normal Tissue"
"DOCK1",-0.357020234131031,"Low XIST","Normal Tissue"
"DYNC1H1",-0.0315267178091176,"High XIST","Normal Tissue"
"DYNC1H1",-0.10111632757053,"Low XIST","Normal Tissue"
"ECT2",0.14159568191136,"High XIST","Normal Tissue"
"ECT2",-0.0393368404631809,"Low XIST","Normal Tissue"
"EGFR",-0.0176233057972605,"High XIST","Normal Tissue"
"EGFR",-0.440013342917078,"Low XIST","Normal Tissue"
"ELMO1",-0.0303244241642425,"High XIST","Normal Tissue"
"ELMO1",0.407395851004451,"Low XIST","Normal Tissue"
"ENAH",-0.483917664058742,"High XIST","Normal Tissue"
"ENAH",-0.120327602756615,"Low XIST","Normal Tissue"
"ENG",-0.360240046697742,"High XIST","Normal Tissue"
