"RNAss","XIST","sample_type","bin_XIST"
0.0893357042449869,7.13546304513759,"Normal Tissue","High XIST"
0.0893749795971323,5.54228900855579,"Normal Tissue",NA
0.0894251890213278,6.08408553077326,"Normal Tissue",NA
0.0894315769451908,6.02682218639858,"Normal Tissue",NA
0.089494916867188,5.48835432923331,"Normal Tissue",NA
0.0896117959541391,6.14202534482694,"Normal Tissue",NA
0.0896962579053125,5.70213111852307,"Normal Tissue",NA
0.0897339188303745,6.68931314007127,"Normal Tissue","High XIST"
0.0898795306017724,6.26361662617831,"Normal Tissue",NA
0.0901914116946136,1.22280456104526,"Normal Tissue","Low XIST"
0.0904671718773513,5.7333814586868,"Normal Tissue",NA
0.0905098558026769,6.16251217773008,"Normal Tissue",NA
0.090574325465891,6.30598875513408,"Normal Tissue",NA
0.0905985812102368,6.96464121747532,"Normal Tissue","High XIST"
0.0906332109366585,3.11835972595306,"Normal Tissue","Low XIST"
0.0906615645565306,6.16713710655645,"Normal Tissue",NA
0.090733014024128,6.06266141243142,"Normal Tissue",NA
0.0907730442321642,6.56118864308143,"Normal Tissue","High XIST"
0.0907948832658617,5.79989030716785,"Normal Tissue",NA
0.0908268618789682,6.57744393471101,"Normal Tissue","High XIST"
0.090910935681423,6.02394281987974,"Normal Tissue",NA
0.0909625845178486,6.10225919370572,"Normal Tissue",NA
0.0909828670848384,6.5713886061883,"Normal Tissue","High XIST"
0.0911384344877647,3.74964152725378,"Normal Tissue","Low XIST"
0.0911718566609056,5.16635392263105,"Normal Tissue",NA
0.0911733967483185,6.63228275872299,"Normal Tissue","High XIST"
0.09135282293987,5.97821851489102,"Normal Tissue",NA
0.0914869953432568,5.56806251539176,"Normal Tissue",NA
0.0916105376737524,7.11271055680882,"Normal Tissue","High XIST"
0.0917310892054597,5.53172454718762,"Normal Tissue",NA
0.0918376697543024,6.16110164277132,"Normal Tissue",NA
0.0919175230626385,6.06976660190387,"Normal Tissue",NA
0.0919767273337921,5.95747355301002,"Normal Tissue",NA
0.0919981656430587,6.37470913804954,"Normal Tissue",NA
0.0920821427462988,7.58647203208456,"Normal Tissue","High XIST"
0.0921102704832654,5.93524757116826,"Normal Tissue",NA
0.0921440983317281,7.73877459097465,"Normal Tissue","High XIST"
0.0922340306615722,6.80349829133976,"Normal Tissue","High XIST"
0.0923659359352488,6.56256298750222,"Normal Tissue","High XIST"
0.092592291034929,6.75890275394331,"Normal Tissue","High XIST"
0.0928194134432645,5.65423502529769,"Normal Tissue",NA
0.093245726604643,7.32013262614153,"Normal Tissue","High XIST"
0.0932618961416305,5.64791886410777,"Normal Tissue",NA
0.0932984543926007,6.52310712180018,"Normal Tissue","High XIST"
0.0936975889286901,6.24870559959285,"Normal Tissue",NA
0.0937184064577676,6.22517851043715,"Normal Tissue",NA
0.0937727355250761,6.97270414038402,"Normal Tissue","High XIST"
0.0937937369696687,6.43797672831972,"Normal Tissue","High XIST"
0.0938997130120922,6.88020797587788,"Normal Tissue","High XIST"
0.0939232070935117,6.13259740545164,"Normal Tissue",NA
0.0940143329023226,7.04768015607452,"Normal Tissue","High XIST"
0.0940611473061409,5.25704834509351,"Normal Tissue",NA
0.0941090353634534,6.82401678428421,"Normal Tissue","High XIST"
0.094117,7.6125,"Primary Tumor","High XIST"
0.0941551365694758,7.03122976034716,"Normal Tissue","High XIST"
0.0942843732065475,6.06179779465619,"Normal Tissue",NA
0.094306558042332,6.75088783509179,"Normal Tissue","High XIST"
0.0943113977862876,6.47445226780162,"Normal Tissue","High XIST"
0.0943402432819542,6.18925131958267,"Normal Tissue",NA
0.0947256100069643,5.36075053557755,"Normal Tissue",NA
0.0948341360575199,6.03476595487748,"Normal Tissue",NA
0.094849576764129,6.3626627495273,"Normal Tissue",NA
0.0949389633120555,7.0011379276667,"Normal Tissue","High XIST"
0.0949801453300449,5.94347598157669,"Normal Tissue",NA
0.0950574182898325,5.22423325882714,"Normal Tissue",NA
0.0954746486312946,5.41112113227658,"Normal Tissue",NA
0.0954796339259072,6.42208159050668,"Normal Tissue","High XIST"
0.0954905921264729,6.01214402604138,"Normal Tissue",NA
0.0955253577626229,6.52655401160346,"Normal Tissue","High XIST"
0.0955485462486009,7.10748910848166,"Normal Tissue","High XIST"
0.0955798592862944,6.60749307016301,"Normal Tissue","High XIST"
0.0955821400716239,6.343958499777,"Normal Tissue",NA
