"adhesome_gene","XIST","tissue"
"ITGA6",0.367727293031091,"Muscle"
"ITGA4",0.360267501858713,"Muscle"
"ITGAV",0.210906375251122,"Muscle"
"CASP8",0.406625951786937,"Muscle"
"ABI2",0.545712337238973,"Muscle"
"NRP2",0.485686282623146,"Muscle"
"TNS1",-0.149138197612025,"Muscle"
"ARPC2",0.211981501081896,"Muscle"
"IRS1",0.255183107890372,"Muscle"
"INPP5D",0.372159267864213,"Muscle"
"ILKAP",0.373223634802805,"Muscle"
"ANKRD28",0.125763296976554,"Muscle"
"ITGA9",0.396943989855108,"Muscle"
"CTNNB1",0.470858956605997,"Muscle"
"RHOA",0.371480700206702,"Muscle"
"PPM1M",0.436457054087887,"Muscle"
"NISCH",0.550642419273432,"Muscle"
"PRKCD",0.0466767723733608,"Muscle"
"FLNB",0.495022817004161,"Muscle"
"MAGI1",0.381870553488571,"Muscle"
"CD47",0.61091957087752,"Muscle"
"ITGB5",0.272480425001626,"Muscle"
"HEG1",0.324185842339039,"Muscle"
"PLD1",0.453159566565746,"Muscle"
"ECT2",0.118293857619336,"Muscle"
"PIK3CA",0.354868479121992,"Muscle"
"LPP",0.443493376720998,"Muscle"
"DLG1",0.147189096341242,"Muscle"
"ADD1",0.110378266702241,"Muscle"
"SHROOM3",0.260976023093191,"Muscle"
"ARHGAP24",0.365386119518127,"Muscle"
"GAB1",0.352275722975115,"Muscle"
"RAPGEF2",0.431289687885849,"Muscle"
"PALLD",0.084764212494061,"Muscle"
"CASP3",-0.0900544520430931,"Muscle"
"SORBS2",0.278357793237878,"Muscle"
"FAT1",0.417287575892898,"Muscle"
"EXOC3",0.359660424502422,"Muscle"
"CTNND2",0.286272942636718,"Muscle"
"TRIO",0.465963586504551,"Muscle"
"CDH18",-0.0379246969045798,"Muscle"
"CDH12",0.237642491301617,"Muscle"
"CDH10",0.205183235728944,"Muscle"
"CDH9",-0.1046975897578,"Muscle"
"CDH6",0.306934003488572,"Muscle"
"PDZD2",0.227785309313809,"Muscle"
"ITGA1",0.372638048457753,"Muscle"
"ITGA2",0.467589881866557,"Muscle"
"PDE4D",0.184207423580298,"Muscle"
"RASA1",0.579454828401058,"Muscle"
"FER",0.596513684717552,"Muscle"
"PPP2CA",0.17322352881889,"Muscle"
"CTNNA1",0.405734094616708,"Muscle"
"DIAPH1",0.207865839893099,"Muscle"
"ARHGAP26",0.257232582982777,"Muscle"
"DBN1",0.194680244841099,"Muscle"
"NEDD9",0.364558700848382,"Muscle"
